"Alue","Vuosi","Koulutussektori","Ulkomaalaiset opiskelijat","Vieraskieliset opiskelijat"
"Alavus","2013","Ammatillinen koulutus",3,3
"Alavus","2013","Ammattikorkeakoulutus",0,0
"Alavus","2013","Yliopistokoulutus",0,0
"Alavus","2014","Perusopetus",0,0
"Alavus","2014","Perusasteen jälkeinen koulutus yhteensä",0,2
"Alavus","2014","Lukiokoulutus",0,1
"Alavus","2014","Ammatillinen koulutus",0,1
"Alavus","2014","Ammattikorkeakoulutus",0,0
"Alavus","2014","Yliopistokoulutus",0,0
"Alavus","2015","Perusopetus",0,0
"Alavus","2015","Perusasteen jälkeinen koulutus yhteensä",3,4
"Alavus","2015","Lukiokoulutus",0,0
"Alavus","2015","Ammatillinen koulutus",2,3
"Alavus","2015","Ammattikorkeakoulutus",1,1
"Alavus","2015","Yliopistokoulutus",0,0
"Alavus","2016","Perusopetus",0,0
"Alavus","2016","Perusasteen jälkeinen koulutus yhteensä",4,5
"Alavus","2016","Lukiokoulutus",0,0
"Alavus","2016","Ammatillinen koulutus",3,4
"Alavus","2016","Ammattikorkeakoulutus",1,1
"Alavus","2016","Yliopistokoulutus",0,0
"Alavus","2017","Perusopetus",0,0
"Alavus","2017","Perusasteen jälkeinen koulutus yhteensä",4,6
"Alavus","2017","Lukiokoulutus",0,0
"Alavus","2017","Ammatillinen koulutus",4,5
"Alavus","2017","Ammattikorkeakoulutus",0,1
"Alavus","2017","Yliopistokoulutus",0,0
"Alavus","2018","Perusopetus",0,0
"Alavus","2018","Perusasteen jälkeinen koulutus yhteensä",2,6
"Alavus","2018","Lukiokoulutus",0,0
"Alavus","2018","Ammatillinen koulutus",2,5
"Alavus","2018","Ammattikorkeakoulutus",0,1
"Alavus","2018","Yliopistokoulutus",0,0
"Alavus","2019","Perusopetus",0,0
"Alavus","2019","Perusasteen jälkeinen koulutus yhteensä",0,1
"Alavus","2019","Lukiokoulutus",0,0
"Alavus","2019","Ammatillinen koulutus",0,1
"Alavus","2019","Ammattikorkeakoulutus",0,0
"Alavus","2019","Yliopistokoulutus",0,0
"Alavus","2020","Perusopetus",18,24
"Alavus","2020","Perusasteen jälkeinen koulutus yhteensä",2,4
"Alavus","2020","Lukiokoulutus",0,0
"Alavus","2020","Ammatillinen koulutus",2,4
"Alavus","2020","Ammattikorkeakoulutus",0,0
"Alavus","2020","Yliopistokoulutus",0,0
"Alavus","2021","Perusopetus",19,24
"Alavus","2021","Perusasteen jälkeinen koulutus yhteensä",7,9
"Alavus","2021","Lukiokoulutus",4,4
"Alavus","2021","Ammatillinen koulutus",3,5
"Alavus","2021","Ammattikorkeakoulutus",0,0
"Alavus","2021","Yliopistokoulutus",0,0
"Alavus","2022","Perusopetus",18,24
"Alavus","2022","Perusasteen jälkeinen koulutus yhteensä",8,8
"Alavus","2022","Lukiokoulutus",4,5
"Alavus","2022","Ammatillinen koulutus",4,3
"Alavus","2022","Ammattikorkeakoulutus",0,0
"Alavus","2022","Yliopistokoulutus",0,0
"Asikkala","2004","Perusopetus",0,0
"Asikkala","2004","Perusasteen jälkeinen koulutus yhteensä",0,1
"Asikkala","2004","Lukiokoulutus",0,0
"Asikkala","2004","Ammatillinen koulutus",0,1
"Asikkala","2004","Ammattikorkeakoulutus",0,0
"Asikkala","2004","Yliopistokoulutus",0,0
"Asikkala","2005","Perusopetus",0,0
"Asikkala","2005","Perusasteen jälkeinen koulutus yhteensä",0,1
"Asikkala","2005","Lukiokoulutus",0,0
"Asikkala","2005","Ammatillinen koulutus",0,1
"Asikkala","2005","Ammattikorkeakoulutus",0,0
"Asikkala","2005","Yliopistokoulutus",0,0
"Asikkala","2006","Perusopetus",0,0
"Asikkala","2006","Perusasteen jälkeinen koulutus yhteensä",0,0
"Asikkala","2006","Lukiokoulutus",0,0
"Asikkala","2006","Ammatillinen koulutus",0,0
"Asikkala","2006","Ammattikorkeakoulutus",0,0
"Asikkala","2006","Yliopistokoulutus",0,0
"Asikkala","2007","Perusopetus",0,0
"Asikkala","2007","Perusasteen jälkeinen koulutus yhteensä",3,3
"Asikkala","2007","Lukiokoulutus",0,0
"Asikkala","2007","Ammatillinen koulutus",3,3
"Asikkala","2007","Ammattikorkeakoulutus",0,0
"Asikkala","2007","Yliopistokoulutus",0,0
"Asikkala","2008","Perusopetus",0,0
"Asikkala","2008","Perusasteen jälkeinen koulutus yhteensä",2,4
"Asikkala","2008","Lukiokoulutus",0,0
"Asikkala","2008","Ammatillinen koulutus",2,4
"Asikkala","2008","Ammattikorkeakoulutus",0,0
"Asikkala","2008","Yliopistokoulutus",0,0
"Asikkala","2009","Perusopetus",0,0
"Asikkala","2009","Perusasteen jälkeinen koulutus yhteensä",1,5
"Asikkala","2009","Lukiokoulutus",0,2
"Asikkala","2009","Ammatillinen koulutus",1,3
"Asikkala","2009","Ammattikorkeakoulutus",0,0
"Asikkala","2009","Yliopistokoulutus",0,0
"Asikkala","2010","Perusopetus",0,0
"Asikkala","2010","Perusasteen jälkeinen koulutus yhteensä",4,9
"Asikkala","2010","Lukiokoulutus",0,2
"Asikkala","2010","Ammatillinen koulutus",4,7
"Asikkala","2010","Ammattikorkeakoulutus",0,0
"Asikkala","2010","Yliopistokoulutus",0,0
"Asikkala","2011","Perusopetus",0,0
"Asikkala","2011","Perusasteen jälkeinen koulutus yhteensä",8,12
"Asikkala","2011","Lukiokoulutus",1,3
"Asikkala","2011","Ammatillinen koulutus",7,9
"Asikkala","2011","Ammattikorkeakoulutus",0,0
"Asikkala","2011","Yliopistokoulutus",0,0
"Asikkala","2012","Perusopetus",0,0
"Asikkala","2012","Perusasteen jälkeinen koulutus yhteensä",13,15
"Asikkala","2012","Lukiokoulutus",2,2
"Asikkala","2012","Ammatillinen koulutus",11,13
"Asikkala","2012","Ammattikorkeakoulutus",0,0
"Asikkala","2012","Yliopistokoulutus",0,0
"Asikkala","2013","Perusopetus",0,0
"Asikkala","2013","Perusasteen jälkeinen koulutus yhteensä",12,16
"Asikkala","2013","Lukiokoulutus",1,2
"Asikkala","2013","Ammatillinen koulutus",11,14
"Asikkala","2013","Ammattikorkeakoulutus",0,0
"Asikkala","2013","Yliopistokoulutus",0,0
"Asikkala","2014","Perusopetus",0,0
"Asikkala","2014","Perusasteen jälkeinen koulutus yhteensä",7,11
"Asikkala","2014","Lukiokoulutus",1,3
"Asikkala","2014","Ammatillinen koulutus",6,8
"Asikkala","2014","Ammattikorkeakoulutus",0,0
