"Matkan kohdekunta","Vuosi","Yön yli matkoja, tuhatta matkaa","Matkojen muutos, %","Yöpymisiä, tuhatta yöpymistä","Yöpymisten muutos, %","Matkan keskimääräinen kesto, yötä","Matkan mediaanikesto, yötä"
"Alajärvi","2012",.,.,.,.,.,.
"Alajärvi","2013",.,.,.,.,.,.
"Alajärvi","2014",.,.,.,.,.,.
"Alajärvi","2015",.,.,.,.,.,.
"Alajärvi","2016",.,.,.,.,.,.
"Alajärvi","2017",100,..,210,..,2.1,2.0
"Alajärvi","2018",.,.,.,.,.,.
"Alajärvi","2019",.,.,.,.,.,.
"Alajärvi","2020",.,.,.,.,.,.
"Alajärvi","2021",.,.,.,.,.,.
"Alajärvi","2022",.,.,.,.,.,.
"Alajärvi","2023",.,.,.,.,.,.
"Alavus","2012",120,..,290,..,2.4,2.0
"Alavus","2013",130,10,290,-2,2.2,2.0
"Alavus","2014",100,-24,360,26,3.6,2.0
"Alavus","2015",.,.,.,.,.,.
"Alavus","2016",140,..,290,..,2.1,2.0
"Alavus","2017",.,.,.,.,.,.
"Alavus","2018",100,..,250,..,2.5,2.0
"Alavus","2019",.,.,.,.,.,.
"Alavus","2020",.,.,.,.,.,.
"Alavus","2021",150,..,470,..,3.1,2.0
"Alavus","2022",.,.,.,.,.,.
"Alavus","2023",.,.,.,.,.,.
"Asikkala","2012",.,.,.,.,.,.
"Asikkala","2013",.,.,.,.,.,.
"Asikkala","2014",.,.,.,.,.,.
"Asikkala","2015",.,.,.,.,.,.
"Asikkala","2016",110,..,330,..,3.0,2.0
"Asikkala","2017",130,19,480,44,3.7,2.0
"Asikkala","2018",.,.,.,.,.,.
"Asikkala","2019",.,.,.,.,.,.
"Asikkala","2020",120,..,560,..,4.7,2.0
"Asikkala","2021",130,9,400,-29,3.1,2.0
"Asikkala","2022",.,.,.,.,.,.
"Asikkala","2023",.,.,.,.,.,.
"Enontekiö","2012",.,.,.,.,.,.
"Enontekiö","2013",.,.,.,.,.,.
"Enontekiö","2014",.,.,.,.,.,.
"Enontekiö","2015",.,.,.,.,.,.
"Enontekiö","2016",.,.,.,.,.,.
"Enontekiö","2017",.,.,.,.,.,.
"Enontekiö","2018",.,.,.,.,.,.
"Enontekiö","2019",.,.,.,.,.,.
"Enontekiö","2020",110,..,750,..,6.8,5.0
"Enontekiö","2021",.,.,.,.,.,.
"Enontekiö","2022",.,.,.,.,.,.
"Enontekiö","2023",.,.,.,.,.,.
"Espoo","2012",340,..,840,..,2.5,2.0
"Espoo","2013",270,-21,640,-23,2.4,2.0
"Espoo","2014",280,3,660,3,2.4,2.0
"Espoo","2015",360,29,980,49,2.7,2.0
"Espoo","2016",340,-3,910,-7,2.7,2.0
"Espoo","2017",240,-29,600,-33,2.5,2.0
"Espoo","2018",240,-2,590,-2,2.5,2.0
"Espoo","2019",260,9,590,0,2.3,2.0
"Espoo","2020",270,2,700,18,2.6,2.0
"Espoo","2021",300,14,830,18,2.8,2.0
"Espoo","2022",330,8,700,-15,2.1,2.0
"Espoo","2023",230,-30,670,-4,2.9,2.0
"Forssa","2012",.,.,.,.,.,.
"Forssa","2013",.,.,.,.,.,.
"Forssa","2014",.,.,.,.,.,.
"Forssa","2015",.,.,.,.,.,.
"Forssa","2016",.,.,.,.,.,.
"Forssa","2017",110,..,200,..,1.8,2.0
"Forssa","2018",.,.,.,.,.,.
"Forssa","2019",.,.,.,.,.,.
"Forssa","2020",.,.,.,.,.,.
"Forssa","2021",.,.,.,.,.,.
"Forssa","2022",.,.,.,.,.,.
"Forssa","2023",.,.,.,.,.,.
"Hamina","2012",.,.,.,.,.,.
"Hamina","2013",.,.,.,.,.,.
"Hamina","2014",.,.,.,.,.,.
"Hamina","2015",.,.,.,.,.,.
"Hamina","2016",.,.,.,.,.,.
"Hamina","2017",.,.,.,.,.,.
"Hamina","2018",.,.,.,.,.,.
"Hamina","2019",.,.,.,.,.,.
"Hamina","2020",120,..,500,..,4.2,3.0
"Hamina","2021",200,61,810,64,4.1,3.0
"Hamina","2022",100,-48,370,-55,3.7,2.0
"Hamina","2023",.,.,.,.,.,.
"Hanko","2012",.,.,.,.,.,.
"Hanko","2013",.,.,.,.,.,.
